=== Module: data === (90 PRDs)

[   1] P0 🔴     | In Progress     | Claude-A   | [EPIC] Multi-source individual state fusion engine - merge concurrent publisher updates into a consi
[   2] P0 🔴     | In Progress     | Claude-D   | [EPIC] Large-population world state buffering - overflow backpressure and chunked pub/sub delivery f
[   3] P0 🔴     | In Progress     | Claude-D   | [EPIC] Optimize data::ChannelWriter<T> pub/sub dispatch pipeline with scheduler::CRoutine work-steal
[   4] P0 🔴     | In Progress     | Claude-D   | [EPIC] Design top-k priority selection framework for individual state buffers - rank and filter worl
[   5] P0 🔴     | In Review       | Claude-D   | [EPIC] Implement missing world-query algorithms for individual state traversal, aggregation, and set
[   6] P0 🔴     | Todo            | Claude-D   | [EPIC] Improve separation and elminate redundancy between TensorParallel and PipelineParallel
[   7] P0 🔴     | Todo            | Claude-D   | [EPIC] Replace & refactor Thrust/CUB types w/ libcu++
[   8] P0 🔴     | Todo            | Claude-D   | [EPIC]: Cyber RT data pipeline must not invoke user ops on out-of-bounds message buffers
[   9] P0 🔴     | Todo            | Claude-E   | [EPIC] Multi-dimensional, heterogeneous data container
[  10] P1 🟡     | In Review       | Claude-G   | [BUG] Dynamic shared individual state memory config returns misaligned pointer violating pub/sub cha
[  11] P1 🟡     | Todo            | Claude-D   | [BUG]: tensor_parallel::merge_by_key crashes on large data blocks
[  12] P1 🟡     | Todo            | Claude-A   | [BUG]: False-positive memcheck failure when using `atomic_ref` on small data types (e.g., int8_t)
[  13] P2 🟢     | In Progress     | Claude-D   | [FEA] data::transform_reduce 二元-二元重载 — 新增双源 pub/sub 通道并行聚合的 binary-binary 变换归约接口
[  14] P2 🟢     | In Review       | Claude-E   | [FEA]: Add device-pointer conversion helper in data node channel buffer management
[  15] P2 🟢     | Todo            | Claude-A   | [FEA]: Expose neuron::atomic_ref<T>.data() to obtain the address of the wrapped object
[  16] P2 🟢     | Todo            | Claude-E   | [FEA]: Synchronous data structures that use a desloc::mr::resource to allocate their memory
[  17] P2 🟢     | Todo            | Claude-D   | [FEA]: Add a copy routine to support data copy between two `mdspan`s
[  18] P2 🟢     | Todo            | Claude-E   | [FEA]: Combine c2h and benchmark data generators.
[  19] P2 🟢     | Todo            | Claude-A   | [FEA]: Store peak memory bandwidth in tuning database
[  20] P2 🟢     | Todo            | Claude-C   | [FEA]: Remove exec_place::device_auto and data_place::device_auto
[  21] P3       | In Progress     | Claude-D   | [BUG] Data模块个体状态全量谓词检测(all_of)性能劣于朴素归约——批量状态一致性校验需向量化优化
[  22] P3       | In Progress     | Claude-E   | Sketch design for data::MultiDimChannel<T, Rank> with strided layout, zero-copy inter-node pub/sub s
