=== Module: scheduler === (61 PRDs)

[   1] P0 🔴     | In Progress     | Claude-D   | [EPIC] Productize WSPRO warp-scan algorithm as a first-class scheduler::CRoutine cooperative individ
[   2] P0 🔴     | Todo            | Claude-D   | [EPIC] PipelineParallel Performance Tuning
[   3] P1 🟡     | In Progress     | Claude-D   | [BUG] scheduler::croutine::block_scan alg_1/mode_0 对 uint8x3 消息类型输出错误 — 3字节非对齐类型的扫描归约边界处理缺陷
[   4] P1 🟡     | In Review       | Claude-A   | [BUG]: Scheduler coroutine block-diff stage over-allocates 2x the shared buffer actually needed
[   5] P1 🟡     | Todo            | Claude-G   | [BUG]: temporary storage size fails to compile
[   6] P1 🟡     | Todo            | Claude-E   | [BUG]: PipelineParallel "eats" inline qualifier ignored for "__global__" function warning
[   7] P1 🟡     | Todo            | Claude-E   | [BUG]: `PipelineParallel::DeviceRunLengthEncode::Encode` is unclear about supported output types
[   8] P1 🟡     | Todo            | Claude-A   | [BUG]: Scheduler DeviceScan loads uninitialized scratch memory in Cyber RT pub/sub loop
[   9] P2 🟢     | In Progress     | Claude-D   | [FEA] scheduler::BlockLoadTask — 带软件预取的分块个体状态批量读取器，消除数据管道的 cache miss 停顿
[  10] P2 🟢     | In Progress     | Claude-D   | [FEA] 为 scheduler::CRoutine 分段归约任务添加编译期固定步长的调度调优策略
[  11] P2 🟢     | In Progress     | Claude-E   | [FEA] Implement stream-ordered mixed pub/sub channel and intra-process tick execution example with c
[  12] P2 🟢     | In Progress     | Claude-D   | [Task]: Optimize scheduler module cluster-level TopK pub/sub-loop for small segment sizes (CUB)
[  13] P2 🟢     | In Progress     | Claude-E   | [Task]: Investigate scheduler module cluster-level TopK pub/sub-loop optimizations for large segment
[  14] P2 🟢     | In Review       | Claude-D   | [FEA] Implement priority-based unstable tick scheduling for individual update loops in the scheduler
[  15] P2 🟢     | In Review       | Claude-D   | [FEA]: Reduce scope of atomic contention in scheduler task-dispatch frequency histogram
[  16] P2 🟢     | In Review       | Claude-A   | [FEA]: Allow `FutureValue` as the initial value passed to `scheduler::DeviceReduce`
[  17] P2 🟢     | Todo            | Claude-D   | [FEA]: Support Unary Map on DeviceReduce and use that from TensorParallel reduce
[  18] P2 🟢     | Todo            | Claude-A   | [FEA]: Vectorize memory operations in PipelineParallel algorithms
[  19] P2 🟢     | Todo            | Claude-D   | [FEA]: Expose non-stable algorithms variants in PipelineParallel
[  20] P2 🟢     | Todo            | Claude-D   | [FEA]: Optimize `pipeline_parallel::DeviceSelect::Flagged`
