title,type,status,priority,sprint,claude,module,language,note,body_len,has_deps
[EPIC] Unify RTPS and shared-memory transport backends into a single individual-to-individual state delivery pipeline,EPIC,In Progress,P0 🔴,Current,Claude-D,transport,C++/CUDA,,6943,1
[EPIC] Multi-source individual state fusion engine - merge concurrent publisher updates into a consistent subscriber world view,EPIC,In Progress,P0 🔴,Current,Claude-A,data,C++/CUDA,,908,0
[EPIC] Zero-copy async individual state transfer protocol - bulk position and data sync between individuals without intermediate buffering,EPIC,In Progress,P0 🔴,Current,Claude-A,transport,Mixed,,8280,1
[EPIC] Large-population world state buffering - overflow backpressure and chunked pub/sub delivery for worlds with 100K+ individuals,EPIC,In Progress,P0 🔴,Current,Claude-D,data,Mixed,,1078,0
"[FEA] Pluggable individual state memory allocator framework - shared-memory pool, intra-process pool, and embedded-target backends",FEA,In Progress,P2 🟢,Current,Claude-A,base,Mixed,,1138,0
[BUG] Duplicate individual identity collision during node registration when multiple individuals publish to overlapping channel namespaces,BUG,In Progress,P3,Current,Claude-E,node,Mixed,,838,0
[BUG] Composite individual state value fails to lower correctly through message pointer wrapper when crossing C-ABI transport boundary,BUG,In Progress,P3,Current,Claude-E,message,Mixed,,987,0
[EPIC] Setup cross-platform world initialization container and individual bootstrap script infrastructure for embedded and server targets,EPIC,In Progress,P0 🔴,Current,Claude-E,mainboard,Mixed,,816,1
[BUG] Preserve arrival token ownership in croutine synchronization barrier try_wait path to prevent premature tick-loop advancement,BUG,In Progress,P3,Current,Claude-A,croutine,Mixed,,1056,0
[FEA] Integrate distribution-based statistical comparison into profiler benchmark tool for individual update-rate variance analysis across world ticks,FEA,In Progress,P3,Current,Claude-E,profiler,Mixed,,1125,0
"[FEA] Enable auto-generation of world model API documentation from individual node channel definitions, state schemas, and pub/sub topic metadata",FEA,In Progress,P3,Current,Claude-E,tools,LaTeX,,1020,0
[FEA] Emit startup diagnostic when individual execution context detects incompatible Cyber RT middleware version on target platform,FEA,In Progress,P2 🟢,Current,Claude-E,context,Mixed,,1054,0
[FEA] Declare inter-individual dependency graph in mainboard world-init package metadata for deterministic individual boot ordering,FEA,In Progress,P3,Current,Claude-E,mainboard,Python,,935,1
[FEA] Bulk-process world state snapshots in statistics module for cross-individual state divergence detection and convergence reporting,FEA,In Progress,P3,Current,Claude-E,statistics,Mixed,,1064,0
[FEA] Enforce fully-qualified individual-type names in plugin_manager registry to prevent type collisions across distributed world instances,FEA,In Progress,P3,Current,Claude-E,plugin_manager,Python,,894,0
[FEA] Record模块个体状态快照导出时，二进制增量数据路径应相对于世界存档根目录自动解析,FEA,In Progress,P3,Current,Claude-E,record,Mixed,,888,0
[FEA] Message模块扩展个体复合状态类型为constexpr——支持编译期位置/属性/关系静态初始化与校验,FEA,In Progress,P2 🟢,Current,Claude-D,message,Mixed,,1123,0
[FEA] 重构Transport层个体间通道分发逻辑——依据拓扑距离与状态大小自动路由RTPS/共享内存/进程内传输,FEA,In Progress,P3,Current,Claude-A,transport,Python,,4792,1
[BUG] Data模块个体状态全量谓词检测(all_of)性能劣于朴素归约——批量状态一致性校验需向量化优化,BUG,In Progress,P3,Current,Claude-D,data,Mixed,,935,0
[FEA] Base模块新增get_aligned_state_layout工具——自动计算个体状态结构对齐字节数以满足零拷贝pub/sub传输要求,FEA,In Progress,P1 🟡,Current,Claude-A,base,Python,,1348,0
[FEA] PluginManager新增find_individual_plugin_path接口——无需实例化即可定位动态个体类型库的磁盘路径,FEA,In Progress,P2 🟢,Current,Claude-D,plugin_manager,Mixed,,1131,0
[BUG] Scheduler随机Tick分配器uint64粒度下仅产生4096倍数间隔——大规模个体更新聚集于固定时间片边界导致突发峰值,BUG,In Progress,P3,Current,Claude-D,scheduler,Mixed,,976,0
[FEA] Logger模块实现std::format风格的结构化世界事件日志格式化与std::print实时输出接口,FEA,In Progress,P3,Current,Claude-A,logger,Mixed,,1127,0
[BUG] Message模块复合个体状态融合除法运算性能低于预期——嵌套状态向量归一化的类型分发开销需消除,BUG,In Progress,P3,Current,Claude-A,message,Mixed,,1062,0
[EPIC] 提升Component模块架构特性可用性——个体能力集按目标平台分级暴露与编译期静态适配,EPIC,In Progress,P0 🔴,Current,Claude-E,component,Mixed,,1121,0
[THEME] scheduler: initial design for architecture-specific croutine dispatch and individual tick-loop testing framework across embedded and server targets,THEME,In Progress,P3,Current,Claude-E,scheduler,Mixed,,1027,0
[FEA] croutine: run-to-run deterministic individual tick-loop execution ordering and coroutine state-scan sequencing for reproducible world snapshots,FEA,In Progress,P2 🟢,Current,Claude-D,croutine,Mixed,,937,0
[FEA] service_discovery: add key-predicate overload to TopologyManager::diff_by_role() for role-keyed discovered-individual set differencing during topology change,FEA,In Progress,P3,Current,Claude-A,service_discovery,Mixed,,1230,0
"[EPIC] transport/memory_pool roadmap: typed individual-state allocators, shared-memory segment lifecycle, and zero-copy pub/sub resource management",EPIC,In Progress,P0 🔴,Current,Claude-A,transport,Mixed,,8296,1
[FEA] blocker: refactor blocker/topology.h extrema resolution to delegate to common::GraphReducer for correct intra-process individual dependency ordering,FEA,In Progress,P3,Current,Claude-D,blocker,Mixed,,1102,1
"Provide generic base::FixedPoint<Mantissa, Exponent> message-safe numeric type with arithmetic operations for portable cross-node data exchange",Task,In Progress,P3,Current,Claude-A,base,Mixed,,1371,0
Enable safe inclusion of transport::Atomic<T> and lock-free channel primitives in Cyber RT translation units lacking atomic hardware support,Task,Needs Triage,P3,Current,Claude-A,transport,Mixed,TECH-MEMO: 编译单元包含问题，不影响产品行为,5444,0
Migrate tools/codegen.cpp string formatting to std::format for type-safe protobuf message stub generation in the pub/sub-loop build pipeline,Task,In Progress,P3,Current,Claude-E,tools,Mixed,,855,1
[EPIC] Optimize data::ChannelWriter<T> pub/sub dispatch pipeline with scheduler::CRoutine work-stealing and architecture-aware batching for Ampere/Hopper,EPIC,In Progress,P0 🔴,Current,Claude-D,data,Mixed,,1247,0
Add meta-dimension specifiers to component::ComponentBase::LaunchConfig for declarative multi-axis sub-individual topology at component registration,Task,In Progress,P3,Current,Claude-E,component,Mixed,,1244,0
"Implement higher-level node::ChannelBuffer<T, Properties...> typed pub/sub container with pluggable shared-memory and intra-process allocator backends",Task,In Progress,P3,Current,Claude-C,node,Mixed,,1142,0
[FEA]: Add profiler CLI subcommand to enumerate and filter all registered mangled benchmark symbol names in the current Cyber RT profiling session,FEA,In Progress,P2 🟢,Current,Claude-E,profiler,Mixed,,922,0
List all mangled benchmark symbol names resolvable by statistics::BenchmarkRunner at node startup for runtime metric introspection and report filtering,Task,In Progress,P3,Current,Claude-E,statistics,Mixed,,3017,0
[FEA] Define consolidation plan for unifying cyber:: sub-module namespaces under a coherent world:: hierarchy for pub/sub-loop,FEA,In Progress,P2 🟢,Current,Claude-B,common,Mixed,,6541,1
"Sketch design for data::MultiDimChannel<T, Rank> with strided layout, zero-copy inter-node pub/sub sharing, and node-scoped channel lifetime management",Task,In Progress,P3,Current,Claude-E,data,Mixed,,3909,0
[FEA] scheduler::BlockLoadTask — 带软件预取的分块个体状态批量读取器，消除数据管道的 cache miss 停顿,FEA,In Progress,P2 🟢,Current,Claude-D,scheduler,Mixed,,1240,0
[FEA] data::ChannelBuffer 自动零值初始化 — 个体订阅时按状态类型默认值初始化通道内容，消除未定义读取风险,FEA,In Progress,P3,Current,Claude-G,data,Mixed,,1030,0
[FEA] scheduler::CRoutinePolicy 复用 — Cyber RT 并行执行器直接委托调度策略，消除双重调度开销,FEA,In Progress,P3,Current,Claude-E,scheduler,Mixed,,1144,0
[FEA] node::ChannelBuffer<T> 重构 — 以 base-layer transport 消息原语替换复合通道类型，统一个体状态传输表示,FEA,In Progress,P3,Current,Claude-A,transport,Mixed,,4847,1
[FEA] component::ParallelDispatcher 算子特化 — 为 Cyber RT 个体并发任务分发器设计编译期算子特化接口,FEA,In Progress,P2 🟢,Current,Claude-E,component,Mixed,,1155,0
[FEA] tools::CI Windows NVRTC — 新增 Windows 平台 NVRTC 运行时编译与 pub/sub 集成测试 CI 流水线,FEA,In Progress,P3,Current,Claude-G,tools,Mixed,,1106,0
[FEA] context::LowerLevelPubSubAPI — 实现不接受节点数组输入的底层 pub/sub 并行执行接口,FEA,In Progress,P3,Current,Claude-B,context,Mixed,,1147,1
[BUG] scheduler::croutine::block_scan alg_1/mode_0 对 uint8x3 消息类型输出错误 — 3字节非对齐类型的扫描归约边界处理缺陷,BUG,In Progress,P1 🟡,Current,Claude-D,scheduler,Mixed,,935,0
[FEA] profiler::CoopTaskGroup 文档增强 — 为协作式 pub/sub 任务组插桩接口补充完整 API 文档与使用示例,FEA,In Progress,P3,Current,Claude-E,profiler,LaTeX,,1080,0
[FEA] data::transform_reduce 二元-二元重载 — 新增双源 pub/sub 通道并行聚合的 binary-binary 变换归约接口,FEA,In Progress,P2 🟢,Current,Claude-D,data,Mixed,,1481,0
[FEA] 修复 data::StreamTaskFlow pub/sub-loop 通道管道的 MSVC 编译支持——消除 MSVC 特定的 C++ 语法不兼容,FEA,In Progress,P3,Current,Claude-C,tools,Mixed,,1201,0
[EPIC] 将并发哈希表迁移到 component::DynamicComponentBase 订阅者注册表——为动态世界个体集合提供无锁并发索引,EPIC,In Progress,P0 🔴,Current,Claude-E,component,Mixed,,1168,0
[FEA] 为 transport::CyberChannel 和 node::ParallelExecutor 添加 profiler 基准测试套件——量化 pub/sub 通道延迟和吞吐量基线,FEA,In Progress,P3,Current,Claude-E,profiler,Mixed,,1142,0
[FEA] 为 scheduler::CRoutine 分段归约任务添加编译期固定步长的调度调优策略,FEA,In Progress,P2 🟢,Current,Claude-D,scheduler,Mixed,,1264,0
"[FEA] 实现 base::is_virtual_base_of<Base, Derived> 类型特征——用于 pub/sub-loop 个体节点继承体系的编译期内省",FEA,In Progress,P3,Current,Claude-D,base,Mixed,,1208,0
[STF] 为 data::ChannelBuffer 补充基于 mdspan 的逻辑数据视图单元测试——覆盖编译期静态维度标注场景,Task,In Progress,P3,Current,Claude-E,data,Mixed,,1016,0
[MNT] 移除已废弃的 base::__string_view 内部别名并迁移所有 pub/sub-loop 使用方到 base::string_view,Task,In Progress,P3,Current,Claude-D,base,Mixed,,923,0
[STF] 实验性验证 data::ChannelBuffer 本地感知放置策略——对比节点本地内存与共享内存后端的 pub/sub 性能特征,Task,In Progress,P3,Current,Claude-E,data,Mixed,,1035,0
[FEA] Extend common::CYBER_TRAILING_REQUIRES macro to constrain non-template individual component member functions by capability traits,FEA,In Progress,P3,Current,Claude-E,common,Mixed,,4959,0
[FEA] 将 scheduler 排序/直方图 croutine 实现中的 bool_constant 分发标签替换为 if constexpr 分支,FEA,In Progress,P3,Current,Claude-D,scheduler,Mixed,,1099,0
[FEA] Add device argument to legacy pinned memory resource for multi-device world partition individual state migration,FEA,In Progress,P3,Current,Claude-A,common,Mixed,,5670,0
[FEA] Port tensor_parallel extrema algorithms to world::std parallel reduction for individual state collections,FEA,In Progress,P3,Current,Claude-D,common,Mixed,,4672,1
[FEA] 实现 world::demangle——pub/sub-loop 世界运行时的可移植 C++ 符号还原工具,FEA,In Progress,P3,Current,Claude-G,common,Mixed,,1259,0
[BUG] 确保 IndividualPipeline::DeviceScan 只对有效个体数据调用归约算子——防止越界状态参与扫描计算,BUG,In Progress,P3,Current,Claude-D,data,Mixed,,1006,0
[DOC] 添加 world::RuntimeCompiler (NVRTC JIT) 与 pub/sub-loop 个体状态处理内核集成的使用示例,Task,In Progress,P3,Current,Claude-G,tools,LaTeX,,1138,0
[FEA] 为 WorldExtension kernel_config 实现选项查询接口——支持将查询标签用作个体内核配置的工厂方法,FEA,In Progress,P3,Current,Claude-E,io,C++/CUDA,,1145,0
[FEA] Implement world::demangle — portable C++ symbol demangling utility for pub/sub-loop profiler and debug output,FEA,In Progress,P3,Current,Claude-G,common,Mixed,,5181,0
[STF] Introduce JIT compilation support via world::RuntimeCompiler for dynamic individual state processing and world rule hot-patching,Task,In Progress,P3,Current,Claude-G,common,Mixed,,6394,0
[FEA]: Optimize BlockReduce,FEA,In Progress,P2 🟢,Current,Claude-D,base,Mixed,,1326,0
[DOC] Add example showing how to use world::RuntimeCompiler (NVRTC JIT) for dynamic individual state processing rules,Task,In Progress,P3,Current,Claude-E,common,Mixed,,4949,0
[FEA] Support async_buffer in c2h/h2c copy utilities for individual state staging between host and world processing units,FEA,In Progress,P3,Current,Claude-D,common,Mixed,,4121,0
[DO NOT MERGE] Proposal: <world/compiler> compile-time introspection and <world/linker> dynamic module loading for pub/sub-loop plugin system,Task,In Progress,P1 🟡,Current,Claude-D,common,Mixed,,4727,0
[FEA] Implement individual state unit-test harness using Catch2 for base module lock-free data structures,FEA,In Progress,P3,Current,Claude-E,base,Mixed,,2393,0
"[BUG] Fix potentially uninitialized/OOB reads of vsmem in DeviceMergeSort, DeviceReduceByKey, and DeviceSelect for non-aligned individual state collections",BUG,In Progress,P3,Current,Claude-E,common,Mixed,,1020,0
[FEA] Modify low-level world::parallel API to accept pointers directly for zero-copy individual state processing,FEA,In Progress,P3,Current,Claude-A,common,Mixed,,4366,0
[FEA] Document individual parallel execution policies: par_nosync (fire-and-forget) vs par (synchronized) tick modes in scheduler,FEA,In Progress,P3,Current,Claude-E,scheduler,LaTeX,,2475,0
[FEA] Add experimental GPUDirect Storage (cuFile/GDS) C++ bindings for direct device-to-disk individual state persistence,FEA,In Progress,P3,Current,Claude-E,common,Mixed,,5887,0
[FEA] Migrate world::std::reduce_by_key to use scheduler::ReducePolicy backend for parallel individual state group aggregation,FEA,In Progress,P3,Current,Claude-D,common,Mixed,,758,0
[EPIC] Port all std-equivalent parallel algorithms from tensor_parallel:: to world::std:: namespace with scheduler backend dispatch,EPIC,In Progress,P0 🔴,Current,Claude-A,common,Mixed,,4572,1
[BUG] Fix DeviceScan to avoid passing invalid elements to scan operator for non-tile-aligned individual state collections,BUG,In Progress,P3,Current,Claude-D,common,Mixed,,753,0
[EPIC] Design top-k priority selection framework for individual state buffers - rank and filter world entities by relevance score for focused pub/sub delivery,EPIC,In Progress,P0 🔴,Current,Claude-D,data,Mixed,,770,0
[FEA] Implement stream-ordered mixed pub/sub channel and intra-process tick execution example with croutine host_launch pattern,FEA,In Progress,P2 🟢,Current,Claude-E,scheduler,Mixed,,763,0
[FEA] Add example mixing legacy Cyber RT transport protocol and modern pub/sub-loop intra-process channel execution in the same world context,FEA,Needs Triage,P2 🟢,Current,Claude-G,transport,Mixed,TECH-MEMO: 示例代码，不是产品需求,5331,0
Add CI memory-safety validation for individual state buffer access patterns - detect OOB reads and uninitialized state in pub/sub-loop world model,Task,In Progress,P3,Current,Claude-E,profiler,Mixed,,759,0
Make emulated individual capability concept definitions perform short-circuit evaluation to skip unnecessary state compatibility checks at world boot,Task,In Progress,P3,Current,Claude-E,component,Mixed,,772,0
[BUG] Fix OOB access and uninitialized reads in croutine merge-sort scheduling pass for individual state priority ordering,BUG,In Progress,P3,Current,Claude-D,croutine,Mixed,,715,0
Add cyber::is_sufficiently_aligned utility for pub/sub message buffer alignment validation and deprecate legacy cyber::is_aligned in base module,Task,In Progress,P3,Current,Claude-E,base,Mixed,,759,0
Drop cyber::data::counting_iterator in favor of unified cyber::node::counting_iterator for individual state sequence traversal,Task,In Progress,P3,Current,Claude-B,node,Mixed,,720,0
[FEA] Simplify world::std::is_convertible type trait and add IndividualStateLike concept for individual state type safety,FEA,In Progress,P3,Current,Claude-B,common,Mixed,,3275,0
Add CI test coverage for pub/sub-loop world model on arm64 embedded targets (RK3568/RT-Thread) to validate individual state sync on hardware,Task,In Progress,P3,Current,Claude-E,sysmo,Mixed,,713,0
[FEA] Add clang-21 cross-compilation support to CI for tools module world inspector CLI,FEA,In Progress,P3,Current,Claude-E,tools,Mixed,,2288,0
[FEA] Implement lock-free find-first-set-bit individual state flag scanner in base module for zero-latency change detection,FEA,In Progress,P2 🟢,Current,Claude-A,base,Mixed,,732,0
[FEA] Design C++ bindings for high-throughput individual world-state I/O ingestion via io module direct-storage channel,FEA,In Progress,P2 🟢,Current,Claude-C,io,Mixed,,735,0
[FEA] Design cooperative coroutine-group abstraction for safe synchronized multi-individual tick algorithm interfaces in croutine module,FEA,In Progress,P2 🟢,Current,Claude-E,croutine,Mixed,,729,0
[FEA] Implement portable base::ffs find-first-set intrinsic for atomic individual state-change signal detection across pub/sub channels,FEA,In Progress,P3,Current,Claude-A,base,Mixed,,744,0
[BUG] Fix individual tick-loop profiler timeout failures causing false positives in pub/sub-loop CI state-validation runs,BUG,In Progress,P3,Current,Claude-E,profiler,Mixed,,728,0
[FEA] Implement transport::read async individual world-state ingestion primitive for zero-copy pub/sub channel data delivery,FEA,In Progress,P3,Current,Claude-D,transport,Mixed,,5756,1
[FEA] Implement record::batch_snapshot batched world-state capture and replay pipeline for multi-individual position and data bulk recording,FEA,In Progress,P3,Current,Claude-D,record,Mixed,,717,0
[FEA] Implement context module interoperability bridge example for integrating legacy individual runtimes into pub/sub-loop world model,FEA,In Progress,P3,Current,Claude-E,context,Mixed,,747,0
[FEA] Implement scheduler::host_launch stream-ordered mixed host and individual tick execution example for interleaved world-state updates,FEA,In Progress,P3,Current,Claude-E,scheduler,Mixed,,774,0
Add binary-search and range-bound lookup operations over individual state history ring buffers in the data module,Task,In Progress,P3,Current,Claude-G,data,Mixed,,730,0
[FEA] POC hierarchical individual parallelism: parent croutine spawning concurrent child-individual tick sub-loops,FEA,In Progress,P2 🟢,Current,Claude-G,croutine,Mixed,,707,0
Refactor individual component base interface headers to unify state publishing and subscription entry points,Task,In Progress,P3,Current,Claude-E,component,Mixed,,731,0
[record] New single-pass world state stream deduplication and run-length encoding example for compacted playback,Task,In Progress,P3,Current,Claude-E,record,Mixed,,686,0
Add sequential individual state relay chain (`s5_operator` topology) as an application-level world-throughput statistics benchmark,Task,In Progress,P3,Current,Claude-D,statistics,Mixed,,725,0
Generate compile-time numeric boundary constraints for floating-point individual state properties from message type-trait machinery,Task,In Progress,P3,Current,Claude-A,message,Mixed,,741,0
Add s5-topology chained individual state scan as profiler latency and throughput benchmark for the pub/sub pipeline,Task,In Progress,P3,Current,Claude-D,profiler,Mixed,,728,0
Investigate individual execution context compatibility when building pub/sub-loop against alternate C++ standard library and compiler toolchains,Task,In Progress,P3,Current,Claude-E,context,Mixed,,762,0
"Refactor individual node driver APIs to cleanly separate lifecycle init, state publishing, and channel teardown phases",Task,In Progress,P3,Current,Claude-E,node,Mixed,,712,0
Add `individual::execution::guarantee` contracts and `scheduler::max_segment_size` tick-batch limits for bounded-latency world updates,Task,In Progress,P3,Current,Claude-A,scheduler,Mixed,,776,0
[FEA] Refactor CMake build system for modular individual type compilation and plugin discovery,FEA,In Progress,P3,Current,Claude-E,mainboard,Mixed,,2788,1
[FEA] Support multi-segment hierarchical individual scanning in scheduler for batch sub-individual state aggregation,FEA,In Progress,P3,Current,Claude-D,scheduler,Mixed,,3136,0
[FEA] Optimize host-side OpenMP parallel sort for individual state collections with adaptive algorithm selection,FEA,In Progress,P3,Current,Claude-D,common,Mixed,,3720,0
[FEA] Explore PDL (Persistent Data Layout) in segmented sort for heterogeneous individual state spatial partitions,FEA,In Progress,P2 🟢,Current,Claude-D,common,Mixed,,3608,0
[FEA] Migrate autosp_jit to use newer <nv/target> constexpr architecture queries for individual state processing kernel selection,FEA,In Progress,P3,Current,Claude-G,common,Mixed,,2917,0
[FEA] Smoke test for exclusive state prefix-scan across individual hierarchy in data module,FEA,In Progress,P3,Current,Claude-D,data,Mixed,,1982,0
[FEA] Smoke test for inclusive state prefix-scan across individual hierarchy in data module,FEA,In Progress,P3,Current,Claude-D,data,Mixed,,1878,1
Enable `<world/individual>` APIs to be used within Individual Processing Units (IPU),Task,In Progress,P3,Current,Claude-E,common,Mixed,,5966,0
Improve `auto(expr)` Individual State Type Deduction in pub/sub-loop,Task,In Progress,P3,Current,Claude-G,common,Mixed,,6117,0
Refactor pub/sub-loop World Runtime (world_sp) Diagnostics System,Task,In Progress,P3,Current,Claude-E,common,Mixed,,7777,0
[FEA] Support out-of-bounds-safe async bulk coroutine dispatch in scheduler::DeviceTransform,FEA,In Progress,P3,Current,Claude-E,scheduler,Mixed,,728,0
[BUG] Fix CLI option parsing failure in tools module JIT individual-type compiler,BUG,In Progress,P1 🟡,Current,Claude-G,tools,C++/CUDA,,2327,0
[WIP] Implement single-phase component::CoopLaunch cooperative pub/sub dispatch (v2),Task,In Progress,P3,Current,Claude-B,component,Mixed,,699,0
[FEA] Implement common::WorldCompat version compatibility checks for pub/sub-loop individual node runtime validation,FEA,In Progress,P3,Current,Claude-C,common,Mixed,,7301,0
[PoC] Speed-of-light tensor message staging via component::AsyncCopyPlugin shared-memory channel,Task,In Progress,P3,Current,Claude-D,component,Mixed,,713,0
[FEA] Add binary data::transform_reduce for dual-channel subscriber aggregation in pub/sub-loop node pipeline,FEA,In Progress,P3,Current,Claude-D,data,Mixed,,720,0
[FEA] Implement custom tools::NvrtcCmdlineParser for pub/sub-loop JIT kernel compilation routing,FEA,In Progress,P3,Current,Claude-G,tools,Mixed,,735,0
[FEA] Implement base::min/max/clamp value-returning primitives for pub/sub-loop message bounds enforcement,FEA,In Progress,P3,Current,Claude-D,base,Mixed,,715,0
[BUG] Investigate context::ComputePipeline performance regression caused by type-erased pub/sub-loop channel iterators,BUG,In Progress,P3,Current,Claude-B,context,Mixed,,730,0
[FEA] Support oob-ignoring async bulk coroutine copy in croutine::DeviceTransform pub/sub dispatch,FEA,In Progress,P3,Current,Claude-E,croutine,Mixed,,691,0
[FEA] Upgrade base module atomic individual-state accessors to dispatch platform-native intrinsics when available for zero-overhead pub/sub state updates,FEA,In Progress,P3,Current,Claude-A,base,Mixed,,762,0
[EPIC] Productize WSPRO warp-scan algorithm as a first-class scheduler::CRoutine cooperative individual-state aggregation stage,EPIC,In Progress,P0 🔴,Current,Claude-D,scheduler,Mixed,,764,0
[FEA] Add data module DeviceBatchedTopK individual-state priority selector supporting small and medium segment sizes up to 1M entities,FEA,In Progress,P3,Current,Claude-E,data,Mixed,,745,0
[BUG] Fix incorrect context module execution-scope boundary placement causing individual state access outside valid pub/sub channel range,BUG,In Progress,P3,Current,Claude-E,context,Mixed,,749,0
[FEA] Tune croutine module DeviceSelect individual-state filter-select coroutine dispatch policies for sm120 embedded target,FEA,In Progress,P3,Current,Claude-D,croutine,Mixed,,717,0
[FEA] Tune croutine module run-length-encoded individual state-stream compression coroutine for sm120 pub/sub delivery throughput,FEA,In Progress,P3,Current,Claude-D,croutine,Mixed,,722,0
[FEA] Tune croutine module multi-individual world-state reduction aggregation coroutine dispatch policies for sm120 target,FEA,In Progress,P3,Current,Claude-D,croutine,Mixed,,715,0
[FEA] Tune croutine module individual-population partition coroutine - split world state by predicate - dispatch policies for sm120,FEA,In Progress,P3,Current,Claude-D,croutine,Mixed,,724,0
[FEA] Unify `always_true` and `always_false` individual state-filter predicates under `common::` namespace for consistent pub/sub tick-gate dispatch,FEA,In Progress,P3,Current,Claude-D,common,Mixed,,7445,1
[Draft] Add HPX execution backend adapter to transport module for distributed inter-individual pub/sub channel delivery across world instances,Draft,Needs Triage,P3,Current,Claude-E,transport,Mixed,TECH-MEMO: HPX后端是可替换的实现选择，不影响产品接口,6718,0
[FEA] Validate individual execution context and transport channel consistency before state publish,FEA,In Progress,P3,Current,Claude-E,context,Mixed,,710,0
[FEA] Adaptive scheduler tuning for high-density individual tick loops under sustained load,FEA,In Progress,P3,Current,Claude-A,scheduler,Mixed,,727,0
[FEA] Ahead-of-time individual component compilation and static world graph resolution,FEA,In Progress,P3,Current,Claude-G,component,Mixed,,703,0
[DOC] Migrate individual state diff inspection procedures from onboarding guide to skills reference,Task,In Progress,P3,Current,Claude-E,tools,Mixed,,734,0
[MNT] Relax individual message serialization library version pinning for forward compatibility,Task,In Progress,P3,Current,Claude-E,message,Mixed,,704,0
[FIX] Suppress false-positive null-deref warnings in individual state pointer access paths,Task,In Progress,P3,Current,Claude-E,base,Mixed,,705,0
[FEA] Skip redundant individual execution context setup in transport launch when context already active,FEA,In Progress,P3,Current,Claude-E,context,Mixed,,715,0
[FEA] Use compiler intrinsics for byte-order swap in individual state serialization,FEA,In Progress,P3,Current,Claude-A,message,Mixed,,687,0
[FEA] Implement emplace_back for individual state vector buffers to avoid redundant copy on append,FEA,In Progress,P3,Current,Claude-A,data,Mixed,,709,0
[FEA] Atomic lock-free backend for individual state mutation and pub/sub fanout in base module,FEA,In Progress,P3,Current,Claude-A,base,Mixed,,703,0
[FEA] Cast `world::any_resource` to Underlying Individual Resource Type,FEA,In Progress,P2 🟢,Current,Claude-A,common,Mixed,,7902,0
[WorldExtension] Add `replicate` and `join` Stream Operations for Individual State Streams,Task,In Progress,P3,Current,Claude-A,common,Mixed,,7813,0
[FEA] Implement individual replication and join operations for hierarchical topology path builder in service_discovery,FEA,In Progress,P3,Current,Claude-A,service_discovery,Mixed,,3174,0
[BUG] Memory Sanitizer Errors in `collection::MergeSort` Individual State Sorter,BUG,In Progress,P1 🟡,Current,Claude-D,common,Mixed,,7666,0
Fix `collection::MergeSort` Uninitialized Individual State Memory Read Sanitizer Errors,Task,In Progress,P3,Current,Claude-D,common,Mixed,,9042,0
Implement `individual_pipeline::WorldTransform` as Tiled Individual Execution Group Kernel,Task,In Progress,P3,Current,Claude-D,common,C++/CUDA,,731,0
[STF] Combine stackable_ctx and Python Support for Individual State Context,Task,In Progress,P3,Current,Claude-E,common,Mixed,,6801,0
Refactor `SyncGroupExchangeShfl` for Individual Sub-group State Exchange,Task,In Progress,P3,Current,Claude-D,common,Mixed,,6459,0
Port `IndividualStateSync::minmax_element` to IndividualPipeline,Task,In Progress,P3,Current,Claude-D,common,Mixed,,4685,0
[WorldRuntime] Add Wider Type Support in `fill_bytes` for Individual State Initialization,Task,In Progress,P3,Current,Claude-B,common,Mixed,,5663,0
